XPO Logistics, NAN, XPO
UPS Supply Chain Solutions, NYSE,  UPS
DHL Supply Chain, OTC,  DPSGY
J.BHunt Transport Services, NASDAQ,  JBHT
Ryder Supply Chain Solutions, NYSE,  R
Expeditors International of Washington, NASDAQ,  EXPD
C.HRobinson Worldwide, NASDAQ,  CHRW
Penske Logistics, NYSE,  PAG
NFI, OTC,  NFYEF
Kuehne + Nagel Americas, SWX,  KNIN
Ingram Micro Commerce & Lifecycle Services, NYSE,  IM
Ceva Logistics, NASDAQ,  CEVA
Schneider, NYSE,  SNDR
Werner, NASDAQ,  WERN 
FedEx Logistics, NYSE,  FDX
American Tower, NYSE,  AMT
Prologis, NYSE,  PLD
Crown Castle, NYSE,  CCI
Equinix, NASDQ,  EQIX
Simon Property Group, NYSE,  SPG
Public Storage, NYSE,  PSA
Welltower, NYSE,  WELL
Equity Residential, NYSE,  EQR
AvalonBay Communities, NYSE,  AVB
SBA Communications, NYSE,  SBAC
Realty Income, NYSE,  O
Digital Realty Trust, NYSE,  DLR
Boston Properties, NYSE,  BXP
Ventas, NYSE,  VTR
CBRE, NYSE,  CBRE
Nestle USA Inc, OTCMKTS,  NSRGY
Procter & Gamble Co, NYSE,  PG
Philip Morris USA, NYSE,  PM
Unilever North America, NYSE,  UL
Kraft Foods Inc, NASDAQ,  KHC
Pepsico International, NASDAQ,  PEP
Tyson Foods Inc, NYSE,  TSN
Coca-Cola Co, NYSE,  KO
3M Co, NYSE,  MMM
Georgia Pacific, NYSE, GPX
Kimberly Clark Corp, NYSE,  KMB
Louis Vuitton USA Inc, EPA,  MC
Nike Inc, NYSE,  NKE
Diageo North America Inc, NYSE,  DEO
Sara Lee Food & Beverage, NYSE,  SLE
Tesla, NAN, TSLA
Toyota, NAN, TM
Volkswagen, NAN, VOW.DE
NIO, NAN, NIO
Daimler, NAN, DAI.DE
General Motors, NAN, GM
BMW, NAN, BMW.DE
Ferrari, NAN, RACE
Stellantis, NAN, STLA
Hyundai, NAN, HYMTF
Honda, NAN, HMC
Ford, NAN, F
Suzuki, NAN, SZKMF
Nissan, NAN, NSANY
Subaru, NAN, FUJHY
Apple, NAN, AAPL
Samsung, NAN, SSNHY
Alphabet class A, NAN, GOOG
Microsoft, NAN, MSFT
Dell, NAN, DEL
Sony, NAN, SNE
IBM, NAN, IBM
Intel, NAN, INTC
Facebook, NAN, FB
Cisco, NAN, CSCO
Oracle, NAN, ORCL
SAP, NAN, SAP
Adobe, NAN, ADBE
Netflix, NAN, NFLX
HP, NAN, HPQ
Johnson & Johnson, NAN, JNJ
Roche, NAN, ROG
Novartis, NAN, NVS
Pfizer, NAN, PFE
Merck & Co, NAN, MRK
Abbott, NAN, ABT
NovoNordisk, NAN, NVO
AstraZeneca, NAN, AZN
Bayer, NAN, BAYN
GlaxoSmithKline, NAN, GSK
Gilead Sciences, NAN, GLD
Sanofi, NAN, SNY
Vertex, NAN, VRTX
Zoetis, NAN, ZTS
Amgen, NAN, AMGN
Exxon Mobil Corporation , NYSE, XOM
Chevron Corporation , NYSE, CVX
Enterprise Products , NYSE, EPD
ConocoPhillips , NYSE, COP
EOG Resources , NYSE, EOG
Occidental Petroleum Corporation , NYSE, OXY
Kinder Morgan , NYSE, KMI
Halliburton , NYSE, HAL
BP , NYSE, BP
Equinor ASA , NYSE, EQNR
JinkoSolar Holding Co Ltd , NYSE, JKS
Brookfield Renewable Partners LP , NYSE, BEP
First Solar Inc , NYSE, FSLR
Canadian Solar Inc , NASDAQ, CSIQ
Renewable Energy Group Inc , NASDAQ, REGI
SunPower Corp , NASDAQ, SPWR
Amazon , NASDAQ, AMZN
Ebay , NASDAQ, EBAY
Alibaba , NYSE, BABA
JDcom , NASDAQ, JD
Groupon Inc , NASDAQ, GRPN
,,
Overstockcom Inc , NASDAQ, OSTK
Carvana Co , NYSE, CVNA
Chewy Inc , NYSE, CHWY
Target , NYSE, TGT
Walmart , NYSE, WMT
Wayfair , NYSE, W
Macy's , NYSE, M
Costco , NASDAQ, COST
Best Buy , NYSE, BBY
